pair_key,pair_name,drug_a_key,drug_a_name,drug_b_key,drug_b_name,drug_a_level,drug_b_level,mean_cell_viability,median_cell_viability,min_cell_viability,max_cell_viability,n_observations
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,0.0,0.0,0.824375,0.865,0.51,1.0,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,0.0,9.375,0.8175,0.86,0.58,0.98,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,0.0,18.75,0.81125,0.85,0.57,0.93,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,0.0,75.0,0.743125,0.765,0.53,0.9,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,12.5,0.0,0.8325,0.85,0.64,1.01,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,12.5,9.375,0.84125,0.865,0.68,0.93,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,12.5,18.75,0.82375,0.845,0.65,0.91,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,12.5,75.0,0.734375,0.755,0.51,0.94,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,25.0,0.0,0.804375,0.83,0.59,0.92,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,25.0,9.375,0.82,0.84,0.55,0.96,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,25.0,18.75,0.761875,0.785,0.57,0.91,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,25.0,75.0,0.693125,0.675,0.47,0.89,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,100.0,0.0,0.72,0.735,0.5,0.83,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,100.0,9.375,0.708125,0.74,0.5,0.83,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,100.0,18.75,0.7025,0.73,0.49,0.88,16
etoposide + daunorubicin,Etoposide + Daunorubicin,etoposide,Etoposide,daunorubicin,Daunorubicin,100.0,75.0,0.625625,0.635,0.42,0.77,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,0.0,0.0,0.810625,0.83,0.54,1.0,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,0.0,9.375,0.813125,0.84,0.58,0.96,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,0.0,18.75,0.79375,0.795,0.58,0.93,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,0.0,75.0,0.7425,0.76,0.59,0.9,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,5.0,0.0,0.810625,0.83,0.59,0.97,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,5.0,9.375,0.80375,0.815,0.56,0.98,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,5.0,18.75,0.78875,0.805,0.53,0.92,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,5.0,75.0,0.696875,0.68,0.46,0.86,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,10.0,0.0,0.77,0.8,0.5,0.97,16
mitoxantrone + daunorubicin,Mitoxantrone + Daunorubicin,mitoxantrone,Mitoxantrone,daunorubicin,Daunorubicin,10.0,9.375,0.78625,0.835,0.5,0.93,16
