observation_id,cell_viability
1,1.0
2,0.9
3,0.93
4,0.9
5,0.83
6,0.84
7,0.89
8,0.86
9,0.91
10,0.96
11,0.91
12,0.89
13,0.8
14,0.8
15,0.79
16,0.77
17,0.91
18,0.88
19,0.84
20,0.86
21,0.89
22,0.9
23,0.88
24,0.84
25,0.88
26,0.86
27,0.81
28,0.82
29,0.82
30,0.83
31,0.81
32,0.75
33,0.87
34,0.9
35,0.9
36,0.78
37,0.9
38,0.89
39,0.88
40,0.94
41,0.92
42,0.93
43,0.82
44,0.8
45,0.82
46,0.8
47,0.88
48,0.76
49,0.93
50,0.92
51,0.86
52,0.84
53,1.01
54,0.83
55,0.82
56,0.79
57,0.86
58,0.85
59,0.81
60,0.77
61,0.83
62,0.82
63,0.77
64,0.73
65,0.87
66,0.92
67,0.89
68,0.87
69,0.91
70,0.91
71,0.8
72,0.79
73,0.86
74,0.87
75,0.76
76,0.78
77,0.81
78,0.77
79,0.75
80,0.7
81,0.97
82,0.98
83,0.92
84,0.85
85,0.93
86,0.93
87,0.91
88,0.8
89,0.71
90,0.82
91,0.75
92,0.66
93,0.66
94,0.62
95,0.62
96,0.56
97,0.79
98,0.84
99,0.86
100,0.73
101,0.77
102,0.88
103,0.87
104,0.77
105,0.86
106,0.84
107,0.84
108,0.68
109,0.73
110,0.75
111,0.73
112,0.63
113,0.96
114,0.92
115,0.84
116,0.78
117,0.87
118,0.85
119,0.8
120,0.74
121,0.83
122,0.89
123,0.76
124,0.79
125,0.81
126,0.78
127,0.74
128,0.68
129,0.83
130,0.84
131,0.81
132,0.75
133,0.87
134,0.91
135,0.85
136,0.78
137,0.83
138,0.84
139,0.84
140,0.66
141,0.66
142,0.65
143,0.69
144,0.63
145,0.84
146,0.81
147,0.9
148,0.69
149,0.83
150,0.88
151,0.91
152,0.73
153,0.83
154,0.79
155,0.8
156,0.63
157,0.74
158,0.75
159,0.79
160,0.56
161,0.97
162,0.91
163,0.89
164,0.78
165,0.89
166,0.89
167,0.84
168,0.65
169,0.81
170,0.83
171,0.79
172,0.67
173,0.73
174,0.73
175,0.73
176,0.6
177,0.86
178,0.8
179,0.79
180,0.73
181,0.77
182,0.82
183,0.86
184,0.68
185,0.79
186,0.96
187,0.78
188,0.72
189,0.72
190,0.71
191,0.69
192,0.65
193,0.54
194,0.58
195,0.58
196,0.59
197,0.76
198,0.74
199,0.79
200,0.62
201,0.74
202,0.75
203,0.74
204,0.65
205,0.75
206,0.73
207,0.68
208,0.64
209,0.75
210,0.69
211,0.74
212,0.67
213,0.79
214,0.81
215,0.77
216,0.67
217,0.83
218,0.75
219,0.64
220,0.6
221,0.59
222,0.56
223,0.53
224,0.46
225,0.51
226,0.58
227,0.57
228,0.54
229,0.66
230,0.68
231,0.65
232,0.58
233,0.59
234,0.63
235,0.57
236,0.5
237,0.5
238,0.5
239,0.49
240,0.42
241,0.59
242,0.61
243,0.66
244,0.53
245,0.64
246,0.7
247,0.66
248,0.51
249,0.62
250,0.55
251,0.57
252,0.47
253,0.55
254,0.53
255,0.55
256,0.47
