test#,vincristine,mitoxantrone,etoposide,daunorubicin,cell viability
1,0,0,0,0,1.00 
2,0,0,0,9.375,0.90 
3,0,0,0,18.75,0.93 
4,0,0,0,75,0.90 
5,0,0,12.5,0,0.83 
6,0,0,12.5,9.375,0.84 
7,0,0,12.5,18.75,0.89 
8,0,0,12.5,75,0.86 
9,0,0,25,0,0.91 
10,0,0,25,9.375,0.96 
11,0,0,25,18.75,0.91 
12,0,0,25,75,0.89 
13,0,0,100,0,0.80 
14,0,0,100,9.375,0.80 
15,0,0,100,18.75,0.79 
16,0,0,100,75,0.77 
17,0,5,0,0,0.91 
18,0,5,0,9.375,0.88 
19,0,5,0,18.75,0.84 
20,0,5,0,75,0.86 
21,0,5,12.5,0,0.89 
22,0,5,12.5,9.375,0.90 
23,0,5,12.5,18.75,0.88 
24,0,5,12.5,75,0.84 
25,0,5,25,0,0.88 
26,0,5,25,9.375,0.86 
27,0,5,25,18.75,0.81 
28,0,5,25,75,0.82 
29,0,5,100,0,0.82 
30,0,5,100,9.375,0.83 
31,0,5,100,18.75,0.81 
32,0,5,100,75,0.75 
33,0,10,0,0,0.87 
34,0,10,0,9.375,0.90 
35,0,10,0,18.75,0.90 
36,0,10,0,75,0.78 
37,0,10,12.5,0,0.90 
38,0,10,12.5,9.375,0.89 
39,0,10,12.5,18.75,0.88 
40,0,10,12.5,75,0.94 
41,0,10,25,0,0.92 
42,0,10,25,9.375,0.93 
43,0,10,25,18.75,0.82 
44,0,10,25,75,0.80 
45,0,10,100,0,0.82 
46,0,10,100,9.375,0.80 
47,0,10,100,18.75,0.88 
48,0,10,100,75,0.76 
49,0,40,0,0,0.93 
50,0,40,0,9.375,0.92 
51,0,40,0,18.75,0.86 
52,0,40,0,75,0.84 
53,0,40,12.5,0,1.01 
54,0,40,12.5,9.375,0.83 
55,0,40,12.5,18.75,0.82 
56,0,40,12.5,75,0.79 
57,0,40,25,0,0.86 
58,0,40,25,9.375,0.85 
59,0,40,25,18.75,0.81 
60,0,40,25,75,0.77 
